Year,M,D,H,M,S,alpha,dec
[1900],[1],[1],[0],[0],[0.00],[16.6671505219],[-22.119222479]
[1900],[1],[2],[0],[0],[0.00],[16.6712353301],[-22.120295430]
[1900],[1],[3],[0],[0],[0.00],[16.6752832674],[-22.134450294]
[1900],[1],[4],[0],[0],[0.00],[16.6787359584],[-22.137853499]
[1900],[1],[5],[0],[0],[0.00],[16.6830682862],[-22.145018771]
[1900],[1],[6],[0],[0],[0.00],[16.6864836358],[-22.156654949]
[1900],[1],[7],[0],[0],[0.00],[16.6903666813],[-22.157109248]
[1900],[1],[8],[0],[0],[0.00],[16.6943055905],[-22.170630827]
[1900],[1],[9],[0],[0],[0.00],[16.6975682681],[-22.174217832]
[1900],[1],[10],[0],[0],[0.00],[16.7017316475],[-22.180259251]
[1900],[1],[11],[0],[0],[0.00],[16.7050106699],[-22.192023816]
[1900],[1],[12],[0],[0],[0.00],[16.7086699951],[-22.191901477]
[1900],[1],[13],[0],[0],[0.00],[16.7124780061],[-22.204698851]
[1900],[1],[14],[0],[0],[0.00],[16.7155355077],[-22.208486124]
[1900],[1],[15],[0],[0],[0.00],[16.7195058244],[-22.213385110]
[1900],[1],[16],[0],[0],[0.00],[16.7226333769],[-22.225206093]
[1900],[1],[17],[0],[0],[0.00],[16.7260495191],[-22.224556249]
[1900],[1],[18],[0],[0],[0.00],[16.7297060754],[-22.236542781]
[1900],[1],[19],[0],[0],[0.00],[16.7325447230],[-22.240537702]
[1900],[1],[20],[0],[0],[0.00],[16.7362986467],[-22.244286907]
[1900],[1],[21],[0],[0],[0.00],[16.7392601252],[-22.256092458]
[1900],[1],[22],[0],[0],[0.00],[16.7424145665],[-22.254965683]
[1900],[1],[23],[0],[0],[0.00],[16.7458984577],[-22.266064086]
[1900],[1],[24],[0],[0],[0.00],[16.7485046756],[-22.270275742]
[1900],[1],[25],[0],[0],[0.00],[16.7520187958],[-22.272877937]
[1900],[1],[26],[0],[0],[0.00],[16.7547985456],[-22.284591456]
[1900],[1],[27],[0],[0],[0.00],[16.7576723467],[-22.283041289]
[1900],[1],[28],[0],[0],[0.00],[16.7609616915],[-22.293175794]
[1900],[1],[29],[0],[0],[0.00],[16.7633216039],[-22.297601396]
[1900],[1],[30],[0],[0],[0.00],[16.7665722279],[-22.299065709]
[1900],[1],[31],[0],[0],[0.00],[16.7691542322],[-22.310609877]
[1900],[2],[1],[0],[0],[0.00],[16.7717294087],[-22.308691378]
[1900],[2],[2],[0],[0],[0.00],[16.7748021131],[-22.317794287]
[1900],[2],[3],[0],[0],[0.00],[16.7769024766],[-22.322434521]
[1900],[2],[4],[0],[0],[0.00],[16.7798673191],[-22.322783805]
[1900],[2],[5],[0],[0],[0.00],[16.7822364154],[-22.334079897]
[1900],[2],[6],[0],[0],[0.00],[16.7844974817],[-22.331851695]
[1900],[2],[7],[0],[0],[0.00],[16.7873340375],[-22.339865566]
[1900],[2],[8],[0],[0],[0.00],[16.7891654394],[-22.344712829]
[1900],[2],[9],[0],[0],[0.00],[16.7918262005],[-22.343973641]
[1900],[2],[10],[0],[0],[0.00],[16.7939710810],[-22.354945200]
[1900],[2],[11],[0],[0],[0.00],[16.7959073287],[-22.352466026]
[1900],[2],[12],[0],[0],[0.00],[16.7984914633],[-22.359339186]
[1900],[2],[13],[0],[0],[0.00],[16.8000474486],[-22.364384712]
[1900],[2],[14],[0],[0],[0.00],[16.8023888518],[-22.362596037]
[1900],[2],[15],[0],[0],[0.00],[16.8042998983],[-22.373164309]
[1900],[2],[16],[0],[0],[0.00],[16.8059023689],[-22.370493277]
[1900],[2],[17],[0],[0],[0.00],[16.8082188630],[-22.376186295]
[1900],[2],[18],[0],[0],[0.00],[16.8094941976],[-22.381412649]
[1900],[2],[19],[0],[0],[0.00],[16.8115020374],[-22.378618774]
[1900],[2],[20],[0],[0],[0.00],[16.8131695597],[-22.388707620]
[1900],[2],[21],[0],[0],[0.00],[16.8144306611],[-22.385903609]
[1900],[2],[22],[0],[0],[0.00],[16.8164646304],[-22.390378941]
[1900],[2],[23],[0],[0],[0.00],[16.8174543147],[-22.395763794]
[1900],[2],[24],[0],[0],[0.00],[16.8191154919],[-22.392016743]
[1900],[2],[25],[0],[0],[0.00],[16.8205300555],[-22.401546855]
[1900],[2],[26],[0],[0],[0.00],[16.8214430359],[-22.398664860]
[1900],[2],[27],[0],[0],[0.00],[16.8231798978],[-22.401897100]
[1900],[2],[28],[0],[0],[0.00],[16.8238797421],[-22.407416194]
[1900],[3],[1],[0],[0],[0.00],[16.8251821287],[-22.402772052]
[1900],[3],[2],[0],[0],[0.00],[16.8263345755],[-22.411668861]
[1900],[3],[3],[0],[0],[0.00],[16.8268948314],[-22.408762017]
[1900],[3],[4],[0],[0],[0.00],[16.8283220179],[-22.410731117]
[1900],[3],[5],[0],[0],[0.00],[16.8287302646],[-22.416350653]
[1900],[3],[6],[0],[0],[0.00],[16.8296658712],[-22.410874253]
[1900],[3],[7],[0],[0],[0.00],[16.8305511928],[-22.419065731]
[1900],[3],[8],[0],[0],[0.00],[16.8307592874],[-22.416185125]
[1900],[3],[9],[0],[0],[0.00],[16.8318690939],[-22.416887694]
[1900],[3],[10],[0],[0],[0.00],[16.8319889292],[-22.422574715]
[1900],[3],[11],[0],[0],[0.00],[16.8325548919],[-22.416335738]
[1900],[3],[12],[0],[0],[0.00],[16.8331713572],[-22.423751946]
[1900],[3],[13],[0],[0],[0.00],[16.8330316195],[-22.420947933]
[1900],[3],[14],[0],[0],[0.00],[16.8338193980],[-22.420382607]
[1900],[3],[15],[0],[0],[0.00],[16.8336560782],[-22.426093810]
[1900],[3],[16],[0],[0],[0.00],[16.8338522028],[-22.419167272]
[1900],[3],[17],[0],[0],[0.00],[16.8341996903],[-22.425743009]
[1900],[3],[18],[0],[0],[0.00],[16.8337186319],[-22.423058870]
[1900],[3],[19],[0],[0],[0.00],[16.8341809696],[-22.421237291]
[1900],[3],[20],[0],[0],[0.00],[16.8337408710],[-22.426932198]
[1900],[3],[21],[0],[0],[0.00],[16.8335687988],[-22.419396771]
[1900],[3],[22],[0],[0],[0.00],[16.8336473761],[-22.425071743]
[1900],[3],[23],[0],[0],[0.00],[16.8328327061],[-22.422549098]
[1900],[3],[24],[0],[0],[0.00],[16.8329674655],[-22.419491320]
[1900],[3],[25],[0],[0],[0.00],[16.8322576068],[-22.425119709]
[1900],[3],[26],[0],[0],[0.00],[16.8317202543],[-22.417056369]
[1900],[3],[27],[0],[0],[0.00],[16.8315310407],[-22.421773712]
[1900],[3],[28],[0],[0],[0.00],[16.8303922279],[-22.419443439]
[1900],[3],[29],[0],[0],[0.00],[16.8301988573],[-22.415177528]
[1900],[3],[30],[0],[0],[0.00],[16.8292279755],[-22.420688780]
[1900],[3],[31],[0],[0],[0.00],[16.8283317869],[-22.412181658]
[1900],[4],[1],[0],[0],[0.00],[16.8278784851],[-22.415890712]
[1900],[4],[2],[0],[0],[0.00],[16.8264288200],[-22.413786924]
[1900],[4],[3],[0],[0],[0.00],[16.8259115078],[-22.408357008]
[1900],[4],[4],[0],[0],[0.00],[16.8246924771],[-22.413699261]
[1900],[4],[5],[0],[0],[0.00],[16.8234492545],[-22.404838733]
[1900],[4],[6],[0],[0],[0.00],[16.8227402772],[-22.407500549]
[1900],[4],[7],[0],[0],[0.00],[16.8209985087],[-22.405649104]
[1900],[4],[8],[0],[0],[0.00],[16.8201662752],[-22.399101134]
[1900],[4],[9],[0],[0],[0.00],[16.8187160324],[-22.404219670]
[1900],[4],[10],[0],[0],[0.00],[16.8171423591],[-22.395093702]
[1900],[4],[11],[0],[0],[0.00],[16.8161890001],[-22.396673007]
[1900],[4],[12],[0],[0],[0.00],[16.8141764493],[-22.395097426]
[1900],[4],[13],[0],[0],[0.00],[16.8130407665],[-22.387495009]
[1900],[4],[14],[0],[0],[0.00],[16.8113774363],[-22.392338237]
[1900],[4],[15],[0],[0],[0.00],[16.8094912896],[-22.383040129]
[1900],[4],[16],[0],[0],[0.00],[16.8083053157],[-22.383517290]
[1900],[4],[17],[0],[0],[0.00],[16.8060443195],[-22.382233873]
[1900],[4],[18],[0],[0],[0.00],[16.8046177834],[-22.373645328]
[1900],[4],[19],[0],[0],[0.00],[16.8027595581],[-22.378159645]
[1900],[4],[20],[0],[0],[0.00],[16.8005806984],[-22.368782075]
[1900],[4],[21],[0],[0],[0.00],[16.7991748445],[-22.368139466]
[1900],[4],[22],[0],[0],[0.00],[16.7966886435],[-22.367158999]
[1900],[4],[23],[0],[0],[0.00],[16.7949855246],[-22.357664845]
