planet,file,planetil,dates
S,sm0004,sm0,1977-1977
S,sm0005,sm0,1982-1982
S,sm0006,sm0,1983-1985
S,sm0007,sm0,1973-1974
S,sm0008,sm0,1986-1986
S,sm0009,sm0,1980-1980
S,sm0010,sm0,1973-1984
S,sm0011,sm0,1975-1981
S,sm0012,sm0,1976-1982
S,sm0013,sm0,1994-1995
S,sm0014,sm0,1994-1995
S,sm0015,sm0,1995-1996
S,sm0016,sm0,1996-1996
S,sm0017,sm0,1996-1996
S,sm0018,sm0,1995-1995
S,sm0019,sm0,1985-1993
S,sm0020,sm0,1982-1988
S,sm0021,sm0,1990-1994
S,sm0022,sm0,1995-1997
S,sm0023,sm0,1998-1999
S,sm0024,sm0,1999-1999
S,sm0025,sm0,1984-1984
S,sm0026,sm0,1984-1984
S,sm0027,sm0,1984-1984
S,sm0028,sm0,1984-1984
S,sm0029,sm0,1994-1999
S,sm0030,sm0,1995-2000
S,sm0031,sm0,1963-1984
S,sm0032,sm0,1976-1984
S,sm0033,sm0,1998-1998
S,sm0034,sm0,1874-1989
S,sm0035,sm0,1966-1989
S,sm0036,sm0,1874-1984
S,sm0037,sm0,1973-1986
S,sm0038,sm0,1990-1997
S,sm0039,sm0,1995-1995
S,sm0040,sm0,2001-2001
S,sm0041,sm0,1996-2000
S,sm0042,sm0,1999-2001
S,sm0043,sm0,2000-2001
S,sm0044,sm0,"1980,1995-1996"
S,sm0045,sm0,1995-1999
S,sm0046,sm0,1970-1972
S,sm0047,sm0,1990-1990
S,sm0048,sm0,1977-1977
S,sm0049,sm0,1999-2005
S,sm0050,sm0,2004-2006
S,sm0051,sm0,2006-2007
S,sm0052,sm0,1987-1997
S,sm0053,sm0,1995-2001
S,sm0054,sm0,1999-2007
S,sm0055,sm0,2002-2006
S,sm0056,sm0,1981-1981
S,sm0057,sm0,1990-1990
S,sm0058,sm0,"1972-1984,2004-2008"
S,sm0059,sm0,"1976,1995,2004-2005"
S,sm0060,sm0,1999-2008
S,sm0061,sm0,2008-2009
S,sm0062,sm0,2008-2009
S,sm0063,sm0,2000-2012
S,sm0064,sm0,1972-1973
S,sm0065,sm0,2013-2015
S,sm0066,sm0,2001-2012
S,sm0067,sm0,1974-1998
S,sm0068,sm0,2004-2012
S,sm0069,sm0,"1875,1877-1879,1882-1885"
S,sm0070,sm0,2009-2010
S,sm0072,sm0,2008-2009
S,sm0073,sm0,2005-2012
S,sm0074,sm0,1961-1990
S,sm0075,sm0,1972-1974
S,sm0076,sm0,1990-1992
S,sm0077,sm0,1990-1992
S,sm0078,sm0,2013-2016
S,sm0079,sm0,1961-1990
S,sm0080,sm0,1983-1990
S,sm0081,sm0,2019
S,sm0082,sm0,2019-2020
S,sm0083,sm0,2020
S,sm0084,sm0,1972-2007
S,sm0085,sm0,2014-2017
S,sm0087,sm0,2014-2019
S,so0001,so0,1968-1976
S,so0002,so0,1998-1998
S,so0003,so0,1998-1999
S,so0004,so0,1999-1999
S,so0005,so0,1995-1997
S,so0006,so0,1995-1997
S,so0007,so0,2000-2000
S,so0008,so0,2000-2000
S,so0009,so0,2001-2001
S,so0010,so0,2001-2001
S,so0011,so0,2001-2001
