[Year],[M],[D],[H],[M],[S],[alpha],[dec]
[1921],[2],[23],[0],[0],[0.00],[9.0247202864],[17.002776749]
[1921],[2],[24],[0],[0],[0.00],[9.0228556212],[17.008429518]
[1921],[2],[25],[0],[0],[0.00],[9.0212987877],[17.012059294]
[1921],[2],[26],[0],[0],[0.00],[9.0199158287],[17.017502989]
[1921],[2],[27],[0],[0],[0.00],[9.0184096173],[17.026634149]
[1921],[2],[28],[0],[0],[0.00],[9.0166289435],[17.037417309]
[1921],[3],[1],[0],[0],[0.00],[9.0147260263],[17.046021627]
[1921],[3],[2],[0],[0],[0.00],[9.0129992542],[17.050794303]
[1921],[3],[3],[0],[0],[0.00],[9.0115842465],[17.053971586]
[1921],[3],[4],[0],[0],[0.00],[9.0103137017],[17.059352679]
[1921],[3],[5],[0],[0],[0.00],[9.0088917590],[17.068351786]
[1921],[3],[6],[0],[0],[0.00],[9.0072017499],[17.078530210]
[1921],[3],[7],[0],[0],[0.00],[9.0054278170],[17.086128545]
[1921],[3],[8],[0],[0],[0.00],[9.0038644891],[17.089965574]
[1921],[3],[9],[0],[0],[0.00],[9.0026116957],[17.092659702]
[1921],[3],[10],[0],[0],[0.00],[9.0014716509],[17.097906220]
[1921],[3],[11],[0],[0],[0.00],[9.0001548502],[17.106638043]
[1921],[3],[12],[0],[0],[0.00],[8.9985811390],[17.116058467]
[1921],[3],[13],[0],[0],[0.00],[8.9969633395],[17.122545018]
[1921],[3],[14],[0],[0],[0.00],[8.9955869728],[17.125406068]
[1921],[3],[15],[0],[0],[0.00],[8.9945145195],[17.127594283]
[1921],[3],[16],[0],[0],[0.00],[8.9935211124],[17.132637292]
[1921],[3],[17],[0],[0],[0.00],[8.9923285639],[17.140973640]
[1921],[3],[18],[0],[0],[0.00],[8.9908945279],[17.149499846]
[1921],[3],[19],[0],[0],[0.00],[8.9894567308],[17.154792761]
[1921],[3],[20],[0],[0],[0.00],[8.9882866992],[17.156659343]
[1921],[3],[21],[0],[0],[0.00],[8.9874083986],[17.158332927]
[1921],[3],[22],[0],[0],[0.00],[8.9865738121],[17.163113073]
[1921],[3],[23],[0],[0],[0.00],[8.9855208908],[17.170939428]
[1921],[3],[24],[0],[0],[0.00],[8.9842458090],[17.178457424]
[1921],[3],[25],[0],[0],[0.00],[8.9830071025],[17.182500937]
[1921],[3],[26],[0],[0],[0.00],[8.9820577192],[17.183375020]
[1921],[3],[27],[0],[0],[0.00],[8.9813828888],[17.184535154]
[1921],[3],[28],[0],[0],[0.00],[8.9807159244],[17.188996680]
[1921],[3],[29],[0],[0],[0.00],[8.9798155431],[17.196204465]
[1921],[3],[30],[0],[0],[0.00],[8.9787165109],[17.202612424]
[1921],[3],[31],[0],[0],[0.00],[8.9776937073],[17.205364312]
[1921],[4],[1],[0],[0],[0.00],[8.9769771947],[17.205254527]
[1921],[4],[2],[0],[0],[0.00],[8.9765138290],[17.205899488]
[1921],[4],[3],[0],[0],[0.00],[8.9760229125],[17.209980410]
[1921],[4],[4],[0],[0],[0.00],[8.9752880123],[17.216460774]
[1921],[4],[5],[0],[0],[0.00],[8.9743817174],[17.221665797]
[1921],[4],[6],[0],[0],[0.00],[8.9735903827],[17.223096374]
[1921],[4],[7],[0],[0],[0.00],[8.9731172198],[17.222019234]
[1921],[4],[8],[0],[0],[0.00],[8.9728717211],[17.222148392]
[1921],[4],[9],[0],[0],[0.00],[8.9725640627],[17.225787327]
[1921],[4],[10],[0],[0],[0.00],[8.9720062917],[17.231439651]
[1921],[4],[11],[0],[0],[0.00],[8.9713073799],[17.235366193]
[1921],[4],[12],[0],[0],[0.00],[8.9707600975],[17.235465513]
[1921],[4],[13],[0],[0],[0.00],[8.9705373236],[17.233451658]
[1921],[4],[14],[0],[0],[0.00],[8.9705128469],[17.233071910]
[1921],[4],[15],[0],[0],[0.00],[8.9703927319],[17.236215383]
[1921],[4],[16],[0],[0],[0.00],[8.9700206019],[17.240954977]
[1921],[4],[17],[0],[0],[0.00],[8.9695397340],[17.243551692]
[1921],[4],[18],[0],[0],[0.00],[8.9692441925],[17.242334757]
[1921],[4],[19],[0],[0],[0.00],[8.9692736679],[17.239432746]
[1921],[4],[20],[0],[0],[0.00],[8.9694686400],[17.238561507]
[1921],[4],[21],[0],[0],[0.00],[8.9695362568],[17.241166121]
[1921],[4],[22],[0],[0],[0.00],[8.9693543768],[17.244924434]
[1921],[4],[23],[0],[0],[0.00],[8.9690980405],[17.246161022]
[1921],[4],[24],[0],[0],[0.00],[8.9690576072],[17.243660777]
[1921],[4],[25],[0],[0],[0.00],[8.9693374210],[17.239927121]
[1921],[4],[26],[0],[0],[0.00],[8.9697476846],[17.238580996]
[1921],[4],[27],[0],[0],[0.00],[8.9700017838],[17.240601828]
[1921],[4],[28],[0],[0],[0.00],[8.9700138013],[17.243314778]
[1921],[4],[29],[0],[0],[0.00],[8.9699873523],[17.243170215]
[1921],[4],[30],[0],[0],[0.00],[8.9702040563],[17.239426338]
[1921],[5],[1],[0],[0],[0.00],[8.9707312540],[17.234916398]
[1921],[5],[2],[0],[0],[0.00],[8.9713522915],[17.233105700]
[1921],[5],[3],[0],[0],[0.00],[8.9717916910],[17.234494848]
[1921],[5],[4],[0],[0],[0.00],[8.9720010023],[17.236104464]
[1921],[5],[5],[0],[0],[0.00],[8.9722086727],[17.234570322]
[1921],[5],[6],[0],[0],[0.00],[8.9726826955],[17.229633474]
[1921],[5],[7],[0],[0],[0.00],[8.9734524085],[17.224406817]
[1921],[5],[8],[0],[0],[0.00],[8.9742781855],[17.222142393]
[1921],[5],[9],[0],[0],[0.00],[8.9749003661],[17.222856895]
[1921],[5],[10],[0],[0],[0.00],[8.9753085352],[17.223319136]
[1921],[5],[11],[0],[0],[0.00],[8.9757517944],[17.220406273]
[1921],[5],[12],[0],[0],[0.00],[8.9764798698],[17.214343651]
[1921],[5],[13],[0],[0],[0.00],[8.9774837566],[17.208469428]
[1921],[5],[14],[0],[0],[0.00],[8.9785051221],[17.205768750]
[1921],[5],[15],[0],[0],[0.00],[8.9793045179],[17.205777180]
[1921],[5],[16],[0],[0],[0.00],[8.9799095112],[17.205067807]
[1921],[5],[17],[0],[0],[0.00],[8.9805854326],[17.200810179]
[1921],[5],[18],[0],[0],[0.00],[8.9815595752],[17.193706799]
[1921],[5],[19],[0],[0],[0.00],[8.9827850814],[17.187262874]
[1921],[5],[20],[0],[0],[0.00],[8.9839896349],[17.184147369]
[1921],[5],[21],[0],[0],[0.00],[8.9849581462],[17.183425018]
[1921],[5],[22],[0],[0],[0.00],[8.9857555423],[17.181531818]
[1921],[5],[23],[0],[0],[0.00],[8.9866587489],[17.175975522]
[1921],[5],[24],[0],[0],[0.00],[8.9878688803],[17.167921094]
[1921],[5],[25],[0],[0],[0.00],[8.9893023309],[17.160980675]
[1921],[5],[26],[0],[0],[0.00],[8.9906776539],[17.157463835]
[1921],[5],[27],[0],[0],[0.00],[8.9918076963],[17.155982974]
[1921],[5],[28],[0],[0],[0.00],[8.9927933407],[17.152897997]
[1921],[5],[29],[0],[0],[0.00],[8.9939181705],[17.146095290]
[1921],[5],[30],[0],[0],[0.00],[8.9953537443],[17.137180511]
[1921],[5],[31],[0],[0],[0.00],[8.9969813626],[17.129811553]
[1921],[6],[1],[0],[0],[0.00],[8.9985153677],[17.125901704]
[1921],[6],[2],[0],[0],[0.00],[8.9997995686],[17.123636849]
[1921],[6],[3],[0],[0],[0.00],[9.0009687598],[17.119362601]
[1921],[6],[4],[0],[0],[0.00],[9.0023081535],[17.111377919]
[1921],[6],[5],[0],[0],[0.00],[9.0039569174],[17.101700271]
[1921],[6],[6],[0],[0],[0.00],[9.0057635184],[17.093971703]
[1921],[6],[7],[0],[0],[0.00],[9.0074430447],[17.089679015]
[1921],[6],[8],[0],[0],[0.00],[9.0088727158],[17.086614188]
[1921],[6],[9],[0],[0],[0.00],[9.0102185914],[17.081170239]
[1921],[6],[10],[0],[0],[0.00],[9.0117624679],[17.072085726]
[1921],[6],[11],[0],[0],[0.00],[9.0136088689],[17.061754401]
[1921],[6],[12],[0],[0],[0.00],[9.0155762798],[17.053741220]
[1921],[6],[13],[0],[0],[0.00],[9.0173855167],[17.049082960]
[1921],[6],[14],[0],[0],[0.00],[9.0189491730],[17.045215984]
[1921],[6],[15],[0],[0],[0.00],[9.0204615453],[17.038640703]
[1921],[6],[16],[0],[0],[0.00],[9.0221962247],[17.028554460]
[1921],[6],[17],[0],[0],[0.00],[9.0242216155],[17.017685336]
[1921],[6],[18],[0],[0],[0.00],[9.0263297054],[17.009461149]
[1921],[6],[19],[0],[0],[0.00],[9.0282519676],[17.004452426]
[1921],[6],[20],[0],[0],[0.00],[9.0299377205],[16.999783940]
[1921],[6],[21],[0],[0],[0.00],[9.0316059539],[16.992121919]
[1921],[6],[22],[0],[0],[0.00],[9.0335173446],[16.981134732]
[1921],[6],[23],[0],[0],[0.00],[9.0357032153],[16.969838185]
[1921],[6],[24],[0],[0],[0.00],[9.0379328447],[16.961465898]
[1921],[6],[25],[0],[0],[0.00],[9.0399529452],[16.956113997]
[1921],[6],[26],[0],[0],[0.00],[9.0417501521],[16.950644987]
[1921],[6],[27],[0],[0],[0.00],[9.0435641094],[16.941946753]
[1921],[6],[28],[0],[0],[0.00],[9.0456380584],[16.930163464]
[1921],[6],[29],[0],[0],[0.00],[9.0479658886],[16.918547565]
[1921],[6],[30],[0],[0],[0.00],[9.0502983091],[16.910084692]
[1921],[7],[1],[0],[0],[0.00],[9.0524015554],[16.904396046]
[1921],[7],[2],[0],[0],[0.00],[9.0542995231],[16.898135236]
[1921],[7],[3],[0],[0],[0.00],[9.0562481396],[16.888463912]
[1921],[7],[4],[0],[0],[0.00],[9.0584690171],[16.875999099]
[1921],[7],[5],[0],[0],[0.00],[9.0609189017],[16.864175064]
[1921],[7],[6],[0],[0],[0.00],[9.0633343533],[16.855679775]
[1921],[7],[7],[0],[0],[0.00],[9.0655050307],[16.849666658]
[1921],[7],[8],[0],[0],[0.00],[9.0674913765],[16.842637053]
[1921],[7],[9],[0],[0],[0.00],[9.0695609817],[16.832073871]
[1921],[7],[10],[0],[0],[0.00],[9.0719100733],[16.819056157]
[1921],[7],[11],[0],[0],[0.00],[9.0744592666],[16.807141853]
[1921],[7],[12],[0],[0],[0.00],[9.0769357357],[16.798675835]
[1921],[7],[13],[0],[0],[0.00],[9.0791561938],[16.792357794]
[1921],[7],[14],[0],[0],[0.00],[9.0812164640],[16.784595236]
[1921],[7],[15],[0],[0],[0.00],[9.0833911664],[16.773234175]
[1921],[7],[16],[0],[0],[0.00],[9.0858479650],[16.759797133]
[1921],[7],[17],[0],[0],[0.00],[9.0884730321],[16.747905579]
[1921],[7],[18],[0],[0],[0.00],[9.0909890421],[16.739521682]
[1921],[7],[19],[0],[0],[0.00],[9.0932428306],[16.732913272]
[1921],[7],[20],[0],[0],[0.00],[9.0953637078],[16.724454665]
[1921],[7],[21],[0],[0],[0.00],[9.0976284433],[16.712391673]
[1921],[7],[22],[0],[0],[0.00],[9.1001733193],[16.698665158]
[1921],[7],[23],[0],[0],[0.00],[9.1028522048],[16.686899318]
[1921],[7],[24],[0],[0],[0.00],[9.1053881098],[16.678640435]
[1921],[7],[25],[0],[0],[0.00],[9.1076604573],[16.671753546]
[1921],[7],[26],[0],[0],[0.00],[9.1098295463],[16.662641119]
[1921],[7],[27],[0],[0],[0.00],[9.1121693872],[16.649979052]
[1921],[7],[28],[0],[0],[0.00],[9.1147826098],[16.636094518]
[1921],[7],[29],[0],[0],[0.00],[9.1174934673],[16.624553389]
[1921],[7],[30],[0],[0],[0.00],[9.1200301133],[16.616459487]
[1921],[7],[31],[0],[0],[0.00],[9.1223064533],[16.609310677]
[1921],[8],[1],[0],[0],[0.00],[9.1245107560],[16.599598608]
[1921],[8],[2],[0],[0],[0.00],[9.1269094258],[16.586452652]
[1921],[8],[3],[0],[0],[0.00],[9.1295697455],[16.572547904]
[1921],[8],[4],[0],[0],[0.00],[9.1322895215],[16.561331592]
[1921],[8],[5],[0],[0],[0.00],[9.1348067440],[16.553445538]
[1921],[8],[6],[0],[0],[0.00],[9.1370711142],[16.546061957]
[1921],[8],[7],[0],[0],[0.00],[9.1392954376],[16.535821154]
[1921],[8],[8],[0],[0],[0.00],[9.1417339106],[16.522321633]
[1921],[8],[9],[0],[0],[0.00],[9.1444175183],[16.508541626]
[1921],[8],[10],[0],[0],[0.00],[9.1471213871],[16.497750464]
[1921],[8],[11],[0],[0],[0.00],[9.1495980158],[16.490115288]
[1921],[8],[12],[0],[0],[0.00],[9.1518337480],[16.482529222]
[1921],[8],[13],[0],[0],[0.00],[9.1540621970],[16.471838350]
[1921],[8],[14],[0],[0],[0.00],[9.1565210175],[16.458118489]
[1921],[8],[15],[0],[0],[0.00],[9.1592045371],[16.444601429]
[1921],[8],[16],[0],[0],[0.00],[9.1618692412],[16.434322555]
[1921],[8],[17],[0],[0],[0.00],[9.1642863949],[16.426970046]
[1921],[8],[18],[0],[0],[0.00],[9.1664790378],[16.419210002]
[1921],[8],[19],[0],[0],[0.00],[9.1686973642],[16.408148960]
[1921],[8],[20],[0],[0],[0.00],[9.1711583229],[16.394340874]
[1921],[8],[21],[0],[0],[0.00],[9.1738197585],[16.381217318]
[1921],[8],[22],[0],[0],[0.00],[9.1764238024],[16.371527293]
[1921],[8],[23],[0],[0],[0.00],[9.1787643845],[16.364483561]
[1921],[8],[24],[0],[0],[0.00],[9.1809006679],[16.356581237]
[1921],[8],[25],[0],[0],[0.00],[9.1830949431],[16.345237928]
[1921],[8],[26],[0],[0],[0.00],[9.1855396644],[16.331478606]
[1921],[8],[27],[0],[0],[0.00],[9.1881569944],[16.318877149]
[1921],[8],[28],[0],[0],[0.00],[9.1906792266],[16.309848088]
[1921],[8],[29],[0],[0],[0.00],[9.1929264510],[16.303140173]
[1921],[8],[30],[0],[0],[0.00],[9.1949927628],[16.295136737]
[1921],[8],[31],[0],[0],[0.00],[9.1971478662],[16.283612255]
[1921],[9],[1],[0],[0],[0.00],[9.1995563616],[16.270047677]
[1921],[9],[2],[0],[0],[0.00],[9.2021061474],[16.258098805]
