[Year],[M],[D],[H],[M],[S],[alpha],[dec]
[1921],[2],[23],[0],[0],[0.00],[9.0191508351],[17.032349102]
[1921],[2],[24],[0],[0],[0.00],[9.0174859237],[17.039530429]
[1921],[2],[25],[0],[0],[0.00],[9.0158374417],[17.046637687]
[1921],[2],[26],[0],[0],[0.00],[9.0142060255],[17.053668215]
[1921],[2],[27],[0],[0],[0.00],[9.0125923181],[17.060619328]
[1921],[2],[28],[0],[0],[0.00],[9.0109969679],[17.067488335]
[1921],[3],[1],[0],[0],[0.00],[9.0094206259],[17.074272546]
[1921],[3],[2],[0],[0],[0.00],[9.0078639433],[17.080969280]
[1921],[3],[3],[0],[0],[0.00],[9.0063275691],[17.087575881]
[1921],[3],[4],[0],[0],[0.00],[9.0048121487],[17.094089719]
[1921],[3],[5],[0],[0],[0.00],[9.0033183223],[17.100508205]
[1921],[3],[6],[0],[0],[0.00],[9.0018467237],[17.106828791]
[1921],[3],[7],[0],[0],[0.00],[9.0003979799],[17.113048971]
[1921],[3],[8],[0],[0],[0.00],[8.9989727095],[17.119166285]
[1921],[3],[9],[0],[0],[0.00],[8.9975715218],[17.125178327]
[1921],[3],[10],[0],[0],[0.00],[8.9961950150],[17.131082747]
[1921],[3],[11],[0],[0],[0.00],[8.9948437746],[17.136877269]
[1921],[3],[12],[0],[0],[0.00],[8.9935183709],[17.142559692]
[1921],[3],[13],[0],[0],[0.00],[8.9922193567],[17.148127899]
[1921],[3],[14],[0],[0],[0.00],[8.9909472654],[17.153579858]
[1921],[3],[15],[0],[0],[0.00],[8.9897026088],[17.158913632]
[1921],[3],[16],[0],[0],[0.00],[8.9884858758],[17.164127378]
[1921],[3],[17],[0],[0],[0.00],[8.9872975308],[17.169219353]
[1921],[3],[18],[0],[0],[0.00],[8.9861380142],[17.174187911]
[1921],[3],[19],[0],[0],[0.00],[8.9850077420],[17.179031486]
[1921],[3],[20],[0],[0],[0.00],[8.9839071082],[17.183748587]
[1921],[3],[21],[0],[0],[0.00],[8.9828364875],[17.188337775]
[1921],[3],[22],[0],[0],[0.00],[8.9817962398],[17.192797652]
[1921],[3],[23],[0],[0],[0.00],[8.9807867154],[17.197126839]
[1921],[3],[24],[0],[0],[0.00],[8.9798082603],[17.201323956]
[1921],[3],[25],[0],[0],[0.00],[8.9788612197],[17.205387612]
[1921],[3],[26],[0],[0],[0.00],[8.9779459410],[17.209316399]
[1921],[3],[27],[0],[0],[0.00],[8.9770627734],[17.213108899]
[1921],[3],[28],[0],[0],[0.00],[8.9762120669],[17.216763699]
[1921],[3],[29],[0],[0],[0.00],[8.9753941695],[17.220279404]
[1921],[3],[30],[0],[0],[0.00],[8.9746094253],[17.223654647]
[1921],[3],[31],[0],[0],[0.00],[8.9738581718],[17.226888094]
[1921],[4],[1],[0],[0],[0.00],[8.9731407383],[17.229978452]
[1921],[4],[2],[0],[0],[0.00],[8.9724574451],[17.232924473]
[1921],[4],[3],[0],[0],[0.00],[8.9718086023],[17.235724960]
[1921],[4],[4],[0],[0],[0.00],[8.9711945093],[17.238378768]
[1921],[4],[5],[0],[0],[0.00],[8.9706154537],[17.240884811]
[1921],[4],[6],[0],[0],[0.00],[8.9700717109],[17.243242059]
[1921],[4],[7],[0],[0],[0.00],[8.9695635423],[17.245449545]
[1921],[4],[8],[0],[0],[0.00],[8.9690911937],[17.247506372]
[1921],[4],[9],[0],[0],[0.00],[8.9686548929],[17.249411727]
[1921],[4],[10],[0],[0],[0.00],[8.9682548475],[17.251164887]
[1921],[4],[11],[0],[0],[0.00],[8.9678912423],[17.252765222]
[1921],[4],[12],[0],[0],[0.00],[8.9675642373],[17.254212200]
[1921],[4],[13],[0],[0],[0.00],[8.9672739675],[17.255505380]
[1921],[4],[14],[0],[0],[0.00],[8.9670205424],[17.256644409]
[1921],[4],[15],[0],[0],[0.00],[8.9668040480],[17.257629017]
[1921],[4],[16],[0],[0],[0.00],[8.9666245486],[17.258459001]
[1921],[4],[17],[0],[0],[0.00],[8.9664820904],[17.259134207]
[1921],[4],[18],[0],[0],[0.00],[8.9663767051],[17.259654515]
[1921],[4],[19],[0],[0],[0.00],[8.9663084139],[17.260019819]
[1921],[4],[20],[0],[0],[0.00],[8.9662772324],[17.260230016]
[1921],[4],[21],[0],[0],[0.00],[8.9662831732],[17.260284997]
[1921],[4],[22],[0],[0],[0.00],[8.9663262496],[17.260184643]
[1921],[4],[23],[0],[0],[0.00],[8.9664064761],[17.259928823]
[1921],[4],[24],[0],[0],[0.00],[8.9665238690],[17.259517392]
[1921],[4],[25],[0],[0],[0.00],[8.9666784448],[17.258950209]
[1921],[4],[26],[0],[0],[0.00],[8.9668702188],[17.258227141]
[1921],[4],[27],[0],[0],[0.00],[8.9670992024],[17.257348084]
[1921],[4],[28],[0],[0],[0.00],[8.9673654016],[17.256312961]
[1921],[4],[29],[0],[0],[0.00],[8.9676688152],[17.255121734]
[1921],[4],[30],[0],[0],[0.00],[8.9680094333],[17.253774401]
[1921],[5],[1],[0],[0],[0.00],[8.9683872372],[17.252271002]
[1921],[5],[2],[0],[0],[0.00],[8.9688021986],[17.250611622]
[1921],[5],[3],[0],[0],[0.00],[8.9692542787],[17.248796397]
[1921],[5],[4],[0],[0],[0.00],[8.9697434280],[17.246825513]
[1921],[5],[5],[0],[0],[0.00],[8.9702695843],[17.244699216]
[1921],[5],[6],[0],[0],[0.00],[8.9708326717],[17.242417809]
[1921],[5],[7],[0],[0],[0.00],[8.9714325979],[17.239981667]
[1921],[5],[8],[0],[0],[0.00],[8.9720692517],[17.237391247]
[1921],[5],[9],[0],[0],[0.00],[8.9727425004],[17.234647096]
[1921],[5],[10],[0],[0],[0.00],[8.9734521879],[17.231749851]
[1921],[5],[11],[0],[0],[0.00],[8.9741981343],[17.228700232]
[1921],[5],[12],[0],[0],[0.00],[8.9749801371],[17.225499031]
[1921],[5],[13],[0],[0],[0.00],[8.9757979743],[17.222147100]
[1921],[5],[14],[0],[0],[0.00],[8.9766514082],[17.218645328]
[1921],[5],[15],[0],[0],[0.00],[8.9775401899],[17.214994630]
[1921],[5],[16],[0],[0],[0.00],[8.9784640635],[17.211195928]
