Year  M  D   H  M  S       alpha              dec
1903  6  2   0  0  0.00    23.5342665569      -4.230032527  
1903  6  3   0  0  0.00    23.5437336356      -4.170819972  
1903  6  4   0  0  0.00    23.5481701524      -4.150270539  
1903  6  5   0  0  0.00    23.5591662695      -4.081314296  
1903  6  6   0  0  0.00    23.5625696402      -4.066349915  
1903  6  7   0  0  0.00    23.5727696881      -4.004525234  
1903  6  8   0  0  0.00    23.5774971507      -3.978572210  
1903  6  9   0  0  0.00    23.5848529112      -3.937753853  
1903  6 10   0  0  0.00    23.5922582561      -3.892266355  
1903  6 11   0  0  0.00    23.5963088889      -3.874413571  
1903  6 12   0  0  0.00    23.6058697469      -3.814433124  
1903  6 13   0  0  0.00    23.6080444804      -3.808258279  
1903  6 14   0  0  0.00    23.6176515280      -3.749521778  
1903  6 15   0  0  0.00    23.6203727231      -3.737585171  
1903  6 16   0  0  0.00    23.6276436725      -3.696680111  
1903  6 17   0  0  0.00    23.6328068591      -3.666359607  
1903  6 18   0  0  0.00    23.6366058158      -3.650105316  
1903  6 19   0  0  0.00    23.6443721437      -3.601677593  
1903  6 20   0  0  0.00    23.6455429935      -3.602688216  
1903  6 21   0  0  0.00    23.6541966957      -3.549453953  
1903  6 22   0  0  0.00    23.6550357241      -3.550764674  
1903  6 23   0  0  0.00    23.6620394828      -3.510816974  
1903  6 24   0  0  0.00    23.6648543684      -3.496550342  
1903  6 25   0  0  0.00    23.6684620717      -3.481232168  
1903  6 26   0  0  0.00    23.6741114040      -3.446680358  
1903  6 27   0  0  0.00    23.6744923669      -3.453247262  
1903  6 28   0  0  0.00    23.6818070581      -3.408122135  
1903  6 29   0  0  0.00    23.6809480327      -3.421411545  
1903  6 30   0  0  0.00    23.6874337777      -3.383941633  
1903  7  1   0  0  0.00    23.6878928219      -3.385900955  
1903  7  2   0  0  0.00    23.6913092248      -3.371247762  
1903  7  3   0  0  0.00    23.6946033149      -3.352343173  
1903  7  4   0  0  0.00    23.6944048988      -3.362815179  
1903  7  5   0  0  0.00    23.7000227737      -3.328285079  
1903  7  6   0  0  0.00    23.6977179950      -3.351775207  
1903  7  7   0  0  0.00    23.7034019488      -3.318599110  
1903  7  8   0  0  0.00    23.7016085809      -3.336184517  
1903  7  9   0  0  0.00    23.7047752244      -3.322352014  
1903  7 10   0  0  0.00    23.7055738763      -3.320222239  
1903  7 11   0  0  0.00    23.7049734624      -3.333142894  
1903  7 12   0  0  0.00    23.7085724273      -3.311500364  
1903  7 13   0  0  0.00    23.7050990795      -3.343170468  
1903  7 14   0  0  0.00    23.7096588600      -3.316407916  
1903  7 15   0  0  0.00    23.7057939539      -3.348415626  
1903  7 16   0  0  0.00    23.7085731447      -3.336095325  
1903  7 17   0  0  0.00    23.7068259381      -3.351212700  
1903  7 18   0  0  0.00    23.7059387893      -3.365486423  
1903  7 19   0  0  0.00    23.7072485942      -3.358669715  
1903  7 20   0  0  0.00    23.7028843827      -3.396392494  
1903  7 21   0  0  0.00    23.7059846814      -3.378270823  
1903  7 22   0  0  0.00    23.7002992345      -3.422915300  
1903  7 23   0  0  0.00    23.7024922011      -3.413217502  
1903  7 24   0  0  0.00    23.6982546635      -3.445268343  
1903  7 25   0  0  0.00    23.6971376847      -3.460157626  
1903  7 26   0  0  0.00    23.6959767062      -3.469497136  
1903  7 27   0  0  0.00    23.6909965604      -3.511088747  
1903  7 28   0  0  0.00    23.6923349412      -3.503656255  
1903  7 29   0  0  0.00    23.6851550272      -3.558564609  
1903  7 30   0  0  0.00    23.6865421918      -3.552800121  
1903  7 31   0  0  0.00    23.6800009828      -3.600544682  
1903  8  1   0  0  0.00    23.6786772979      -3.615577935  
1903  8  2   0  0  0.00    23.6749967985      -3.641533371  
1903  8  3   0  0  0.00    23.6696796501      -3.684778361  
1903  8  4   0  0  0.00    23.6690334201      -3.689628519  
1903  8  5   0  0  0.00    23.6607539722      -3.751924254  
1903  8  6   0  0  0.00    23.6611215232      -3.751460687  
1903  8  7   0  0  0.00    23.6525835639      -3.812804141  
1903  8  8   0  0  0.00    23.6510342978      -3.827847911  
1903  8  9   0  0  0.00    23.6449104845      -3.870020140  
1903  8 10   0  0  0.00    23.6395001400      -3.912923901  
1903  8 11   0  0  0.00    23.6367233699      -3.931157398  
1903  8 12   0  0  0.00    23.6277579868      -3.997760585  
1903  8 13   0  0  0.00    23.6268950716      -4.003993825  
1903  8 14   0  0  0.00    23.6167503113      -4.076183572  
1903  8 15   0  0  0.00    23.6149053214      -4.091483017  
1903  8 16   0  0  0.00    23.6065306259      -4.148620181  
1903  8 17   0  0  0.00    23.6012187472      -4.189524253  
1903  8 18   0  0  0.00    23.5962619170      -4.221581412  
1903  8 19   0  0  0.00    23.5870252064      -4.289337607  
1903  8 20   0  0  0.00    23.5847580219      -4.303456420  
1903  8 21   0  0  0.00    23.5734734839      -4.383130534  
1903  8 22   0  0  0.00    23.5712422643      -4.399129016  
1903  8 23   0  0  0.00    23.5609416219      -4.469024093  
1903  8 24   0  0  0.00    23.5558852131      -4.506544716  
1903  8 25   0  0  0.00    23.5488347253      -4.551957901  
1903  8 26   0  0  0.00    23.5397478164      -4.617674321  
1903  8 27   0  0  0.00    23.5359901077      -4.640365078  
