planet,file,dates,lines(txt),total(html),total(html)-lines(txt),type,observatory
,abin0049,20012002,9,9,0,relative,"568 - Mauna Kea (W.M.Keck observatory, Hawaii, USA); 675 - Palomar Mountain (California)"
,abin0050,2010 - 2010,7,7,0,position,"568 - Mauna Kea (Keck observatory, Gemini obs.); 309 - Cerro Paranal (European Southern Observatory, Chile)"
,abin0051,2006-2013,8,8,0,position,250 - Hubble Space Telescope
,abin0052,2009-2013,12,12,0,position,"250 - Hubble Space Telescope; 568 - Mauna Kea (W.M. Keck observatory, Gemini observatory, Hawaii, USA)"
,abin0053,2003-2005,5,5,0,position,"304 - Las Campanas Observatory, Chile"
,abin0054,2003-2005,15,15,0,position,"304 - Las Campanas Observatory, Chile"
,abin0055,2005-2005,5,5,0,position,"568 - Mauna Kea   (W.M. Keck observatory, Hawaii, USA)"
,abin0056,2005-2005,3,3,0,position,"568 - Mauna Kea   (W.M. Keck observatory, Hawaii, USA)"
,abin0057,20032010,60,60,0,position,"568 - Mauna Kea (CFHT, Gemini Observatory, Hawaii, USA)"
,abin0058,2015-2015,5,5,0,position,250 - Hubble Space Telescope
,abin0059,2005-2007,9,9,0,position,250 - Hubble Space Telescope
,abin0060,2005-2005,1,1,0,position,250 - Hubble Space Telescope
,abin0061,2005-2005,1,1,0,position,250 - Hubble Space Telescope
,abin0062,2005-2005,1,1,0,position,250 - Hubble Space Telescope
,abin0063,2006-2006,1,1,0,position,250 - Hubble Space Telescope
,abin0064,2004-2004,1,1,0,position,"309, ESO, Cerro Paranal"
,abin0065,2005-2005,6,6,0,position,"250 - Hubble Space Telescope; 568 - Mauna Kea (W.M. Keck observatory, Hawaii, USA)"
,abin0066,2004-2004,1,1,0,position,250 - Hubble Space Telescope
,abin0067,2003-2003,1,1,0,position,250 - Hubble Space Telescope
,abin0068,2003-2003,1,1,0,position,568 - Mauna Kea
,abin0069,2003-2003,1,1,0,position,568 - Mauna Kea
,abin0070,2003-2003,1,1,0,position,568 - Mauna Kea
,abin0071,2003-2003,1,1,0,position,"309 - ESO, Cerro Paranal"
