planet,file,dates,lines(txt),total(html),total(html)-lines(txt),type,observatory
J,jo0010,"J6: 1905.08.23-1906.02.15, J7: 1905.10.22-1906.01.26",1433,1433,0,absolute,"000 - Greenwich; 024 - Heidelberg-Konigstuhl; 029 - Hamburg-Bergedorf; 078 - Johannesburg; 087 - Helwan; 210 - Alma-Ata; 261 - Palomar Mountain-DSS; 309 - Cerro Paranal; 381 - Tokyo-Kiso; 511 - Haute Provence; 662 - Lick Observatory, Mount Hamilton; 672 - Mount Wilson; 690 - Lowell Observatory, Flagstaff; 693 - Catalina Station, Tucson; 695 - Kitt Peak; 711 - McDonald Observatory, Fort Davis; 754 - Yerkes Observatory, Williams Bay; 760 - Goethe Link Observatory, Brooklyn; 786 - U.S. Naval Obs., Washington (since 1893); 801 - Oak Ridge Observatory; 803 - Taunton; 809 - European Southern Observatory, La Silla; 822 - Cordoba; 999 - Bordeaux-Floirac; Reference.; 0 - No reference"
J,jo0011,1952-1952,6,6,0,absolute,822 - Cordoba
J,jo0012,1967-1969,13,13,0,absolute,"662 - Lick Observatory, Mount Hamilton"
J,jo0013,1973-1973,4,4,0,absolute,"711 - McDonald Observatory, Fort Davis"
J,jo0014,1989-1990,72,72,0,absolute,"711 - McDonald Observatory, Fort Davis"
J,jo0015,1990-1992,84,84,0,absolute,"711 - McDonald Observatory, Fort Davis"
J,jo0016,1994-1995,190,190,0,absolute,"711 - McDonald Observatory, Fort Davis"
J,jo0017,1990-1992,53,53,0,absolute,381 - Tokyo-Kiso
J,jo0018,1992-1993,42,42,0,absolute,"413 - Siding Spring Observatory; 809 - European Southern Observatory, La Silla"
J,jo0019,2002-2002,3,3,0,absolute,644 - Palomar Mountain/NEAT
J,jo0020,1980-1981,11,11,0,absolute,"690 Lowell Observatory, Flagstaff"
J,jo0021,2002-2003,10,10,0,absolute,"704 - Lincoln Laboratory ETS, New Mexico"
J,jo0022,1993-2003,288,288,0,absolute,"291 - LPL/Spacewatch II; 309 - Cerro Paranal; 333 - Desert Eagle Observatory; 413 - Siding Spring Observatory; 568 - Mauna Kea; 608 - Haleakala-NEAT/MSSS (Haleakala-AMOS); 644 - Palomar Mountain/NEAT; 673 - Table Mountain Observatory, Wrightwood; 699 - Lowell Observatory-LONEOS; 704 - Lincoln Laboratory ETS, New Mexico; 807 - Cerro Tololo Observatory, La Serena; 1029 - (H29) - Ivywood Observatory"
J,jo0023,2003-2003,120,120,0,absolute,"291 - LPL/Spacewatch II; 568 - Mauna Kea; 608 - Haleakala-NEAT/MSSS (Haleakala-AMOS); 644 - Palomar Mountain/NEAT; 699 - Lowell Observatory-LONEOS; 704 - Lincoln Laboratory ETS, New Mexico"
J,jo0024,"1998-1998, 2002-2002",64,64,0,absolute,"304 - Las Campanas Observatory; 699 - Lowell Observatory-LONEOS; 704 - Lincoln Laboratory ETS, New Mexico"
J,jo0025,"1992, 1993, 2003",52,52,0,absolute,"568 - Mauna Kea; 691 - Steward Observatory, Kitt Peak-Spacewatch; 938 - Linhaceira"
J,jo0026,"1998, 2003",39,39,0,absolute,"568 - Mauna Kea; 704 - Lincoln Laboratory ETS, New Mexico; 807 - Cerro Tololo Observatory, La Serena"
J,jo0027,2003-2003,47,54,7,absolute,"291 - LPL/Spacewatch II; 568 - Mauna Kea; 608 - Haleakala-AMOS (NEAT/MSSS); 644 - Palomar Mountain/NEAT; 704 - Lincoln Laboratory ETS, New Mexico"
J,jo0028,2003-2003,36,36,0,absolute,"608 - Haleakala-AMOS (NEAT/MSSS); 691 - Steward Observatory, Kitt Peak; 703 - Catalina Sky Survey"
J,jo0029,"1951,1975,1976",13,13,0,absolute,"672 - Mount Wilson; 675 - Palomar Mountain; 691 - Steward Observatory, Kitt Peak-Spacewatch; 693 - Catalina Station, Tucson"
J,jo0030,1951-1951,6,6,0,absolute,"660 - Leuschner Observatory, Berkeley"
J,jo0031,1968-1968,6,6,0,absolute,999 - Bordeaux-Floirac
J,jo0032,1968-1968,4,4,0,absolute,"673 - Table Mountain Observatory, Wrightwood"
J,jo0033,1999-2002,162,162,0,absolute,094 - Crimea-Simeis; 115 - Zelenchukskaya
J,jo0034,2001-2005,315,315,0,absolute,"689 - U.S. Naval Observatory, Flagstaff"
J,jo0035,1986-2005,1226,1226,0,absolute,"095 - Crimea-Nauchnij; 106 - Crni Vrh; 119 - Abastuman; 120 - Visnjan; 138 - Village-Neuf; 185 - Observatoire Astronomique Jurassien-Vicques; 224 - Ottmarsheim; 303 - Merida; 333 - Desert Eagle Observatory; 365 - Uto Observatory; 415 - Kambah, near Canberra; 511 - Haute Provence; 565 - Bassano Bresciano; 568 - Mauna Kea; 599 - Campo Imperatore-CINEOS; 608 - Haleakala-AMOS; 644 - Palomar Mountain/NEAT; 673 - Table Mountain Observatory, Wrightwood; 678 - Fountain Hills; 689 - U.S. Naval Observatory, Flagstaff; 691 - Steward Observatory, Kitt Peak-Spacewatch; 695 - Kitt Peak; 699 - Lowell Observatory-LONEOS; 703 - Catalina Sky Survey; 704 - Lincoln Laboratory ETS, New Mexico; 732 - Oaxaca; 739 - Sunflower Observatory, Olathe; 757 - High Point; 809 - European Southern Observatory, La Silla; 888 - Gekko; 910 - Caussols-ODAS; 919 - Desert Beaver Observatory; 926 - Tenagra II Observatory; 938 - Linhaceira; A13 - Observatoire Naef, Marly; E12 - Siding Spring Survey; G96 - Mt. Lemmon Survey"
J,jo0036,2006-2006,221,221,0,absolute,"415 - Kambah, near Canberra; 691 - Steward Observatory, Kitt Peak-Spacewatch; 699 - Lowell Observatory-LONEOS; 703 - Catalina Sky Survey; G96 - Mt. Lemmon Survey; H06 - New Mexico Skies Observatory"
J,jo0037,2006-2006,98,98,0,absolute,"415 - Kambah, near Canberra; 644 - Palomar Mountain/NEAT; 673 - Table Mountain Observatory, Wrightwood"
J,jo0038,1995-1998,120,120,0,absolute,874 - Itajuba
J,jo0039,2006-2006,70,70,0,absolute,"415 - Kambah, near Canberra; 703 - Catalina Sky Survey; E12 - Siding Spring Survey"
J,jo0040,2005-2006,70,70,0,absolute,"689 - U.S. Naval Observatory, Flagstaff"
J,jo0041,2007-2007,20,20,0,absolute,"415 - Kambah, near Canberra"
J,jo0042,2007-2007,77,77,0,absolute,"415 - Kambah, near Canberra; 704 - Lincoln Laboratory ETS, New Mexico; D29 - Purple Mountain Observatory, XuYi Station; D35 - Lulin Observatory"
J,jo0043,2007-2007,32,32,0,absolute,"689 - U.S. Naval Observatory, Flagstaff"
J,jo0044,2007-2007,154,154,0,absolute,"415 - Kambah, near Canberra; 704 - Lincoln Laboratory ETS, New Mexico"
J,jo0045,2008-2008,136,136,0,absolute,"415 - Kambah, near Canberra"
J,jo0046,2000-2008,719,719,0,absolute,"415 - Kambah, near Canberra; 568 - Mauna Kea; 673 - Table Mountain Observatory, Wrightwood; 689 - U.S. Naval Observatory, Flagstaff; 704 - Lincoln Laboratory ETS, New Mexico"
J,jo0047,2008-2009,303,303,0,absolute,"415 - Kambah, near Canberra; 673 - Table Mountain Observatory, Wrightwood; 689 - U.S. Naval Observatory, Flagstaff; 691 - Steward Observatory, Kitt Peak-Spacewatch; 703 - Catalina Sky Survey; 704 - Lincoln Laboratory ETS, New Mexico; E12 - Siding Spring Survey; J75 - OAM Observatory, La Sagra"
J,jo0048,2009-2011,283,283,0,absolute,"106 - Crni Vrh; 198 - Wildberg; 415 - Kambah, near Canberra; 673 - Table Mountain Observatory, Wrightwood; 689 - U.S. Naval Observatory, Flagstaff; 691 - Steward Observatory, Kitt Peak-Spacewatch; 703 - Catalina Sky Survey; 704 - Lincoln Laboratory ETS, New Mexico; 809 - European Southern Observatory, La Silla; D29 - Purple Mountain Observatory, XuYi Station; E10 - Siding Spring-Faulkes Telescope South; E12 - Siding Spring Survey; F51 - Pan-STARRS 1, Haleakala; G68 - Sierra Stars Observatory, Markleeville; H15 - ISON-NM Observatory, Mayhill; H82 - CBA-NOVAC Observatory, Front Royal; I77 - CEAMIG-REA Observatory, Belo Horizonte; J37 - Huelva; J75 - OAM Observatory, La Sagra"
J,jo0049,2010-2010,57,57,0,absolute,C51 - WISE (satellite)
J,jo0050,"1996,2005,2009-2012",459,459,0,absolute,"106 - Crni Vrh; 608 - Haleakala-AMOS; 673 - Table Mountain Observatory, Wrightwood; 689 - U.S. Naval Observatory, Flagstaff; 691 - Steward Observatory, Kitt Peak-Spacewatch; 703 - Catalina Sky Survey; 704 - Lincoln Laboratory ETS, New Mexico; 874 - Itajuba; A50 - Andrushivka Astronomical Observatory; B01 - Taunus Observatory, Frankfurt; C73 - Galati Observatory; D29 - Purple Mountain Observatory, XuYi Station; E07 - Murrumbateman; E12 - Siding Spring Survey; G96 - Mt. Lemmon Survey; H06 - RAS Observatory, Mayhill; H15 - ISON-NM Observatory, Mayhill; H21 - Astronomical Research Observatory, Westfield; J37 - Huelva; J43 - Conway; J75 - OAM Observatory, La Sagra"
J,jo0051,2010-2010,12,12,0,absolute,C51 - WISE (satellite)
J,jo0052,"1914,1987,2010-2012",41,41,0,absolute,"381 - Tokyo-Kiso; 662 - Lick Observatory, Mount Hamilton; 673 - Table Mountain Observatory, Wrightwood; 704 - Lincoln Laboratory ETS, New Mexico; 809 - European Southern Observatory, La Silla; E07 - Murrumbateman; E10 - Siding Spring-Faulkes Telescope South; J43 - Oukaimeden Observatory, Marrakech"
J,jo0053,2012-2012,17,17,0,absolute,689 - Flagstaff
J,jo0054,2010-2015,960,960,0,absolute,"106 - Crni Vrh; 300 - Bisei Spaceguard Center-BATTeRS; 461 - University of Szeged, Piszkesteto Stn. (Konkoly); 673 - Table Mountain Observatory, Wrightwood; 689 - U.S. Naval Observatory, Flagstaff; 691 - Steward Observatory, Kitt Peak-Spacewatch; 695 - Kitt Peak; 703 - Catalina Sky Survey; 704 - Lincoln Laboratory ETS, New Mexico; 850 - Cordell-Lorenz Observatory, Sewanee; 926 - Tenagra II Observatory, Nogales; 958 - Observatoire de Dax; C73 - Galati Observatory; C77 - Bernezzo Observatory; D00 - ISON-Kislovodsk Observatory; D29 - Purple Mountain Observatory, XuYi Station; E07 - Murrumbateman; F51 - Pan-STARRS 1, Haleakala; G36 - Calar Alto-CASADO; G84 - Mount Lemmon SkyCenter; G96 - Mt. Lemmon Survey; H06 - iTelescope Observatory, Mayhill; H21 - Astronomical Research Observatory, Westfield; I41 - Palomar Mountain--PTF; I89 - iTelescope Observatory, Nerpio; J04 - ESA Optical Ground Station, Tenerife; J43 - Oukaimeden Observatory, Marrakech; K33 - San Defendente; U69 - iTelescope SRO Observatory, Auberry; V37 - McDonald Observatory-LCOGT ELP; Y00 - SONEAR Observatory, Oliveira"
J,jo0055,2014-2014,9,9,0,absolute,C51 - WISE (satellite)
J,jo0056,1995-2014,3613,3613,0,absolute,"511 - Haute Provence; 809 - European Southern Observatory, La Silla; 874 - Itajuba"
J,jo0057,2013-2015,120,120,0,absolute,689-Flagstaff
J,jo0058,2010-2010,2,2,0,absolute,"673-Table Mountain Observatory, Wrightwood, California"
J,jo0059,2014-2016,1343,1343,0,absolute,"106 - Crni Vrh; 691 - Steward Observatory, Kitt Peak; 703 - Catalina Sky Survey; C41 - MASTER-II Observatory, Kislovodsk; C95 - SATINO Remote Observatory, Haute Provence; D29 - Purple Mountain Observatory, XuYi Station; E07 - Murrumbateman; F51 - Pan-STARRS 1, Haleakala; G36 - Calar Alto-CASADO; G40 - Slooh.com Canary Islands Observatory; G45 - Space Surveillance Telescope, Atom Site; G80 - Sierra Remote Observatories, Auberry; G96 - Mt. Lemmon Survey; H15 - ISON-NM Observatory, Mayhill; I41 - Palomar Mountain--PTF; J43 - Oukaimeden Observatory, Marrakech; T05 - ATLAS-HKO, Haleakala; W88 - Slooh.com Chile Observatory, La Dehesa; Y00 - SONEAR Observatory, Oliveira; Z22 - MASTER-IAC Observatory, Tenerife; Z80 - Northolt Branch Observatory"
J,jo0060,2015-2016,36,36,0,absolute,C51 - WISE (satellite)
J,jo0061,1906-1907,66,66,0,absolute,"000 - Royal Observatory, Greenwich"
J,jo0062,2015-2018,890,890,0,absolute,"118 - Astronomical and Geophysical Observatory, Modra; 673 - Table Mountain Observatory, Wrightwood; 691 - Steward Observatory, Kitt Peak; 703 - Catalina Sky Survey; D29 - Purple Mountain Observatory, XuYi Station; F51 - Pan-STARRS 1, Haleakala; G36 - Calar Alto-CASADO; G40 - Slooh.com Canary Islands Observatory; G96 - Mt. Lemmon Survey; H15 - ISON-NM Observatory, Mayhill; J43 - Oukaïmeden Observatory, Marrakech; K95 - MASTER-SAAO Observatory, Sutherland; T05 - ATLAS-HKO, Haleakala; T08 - ATLAS-MLO, Mauna Loa; W98 - Polonia Observatory, San Pedro de Atacama; Y00 - SONEAR Observatory, Oliveira; Z22 - MASTER-IAC Observatory, Tenerife; Z80 - Northolt Branch Observatory; Z84 - Calar Alto-Schmidt"
J,jo0063,2017,8,8,0,absolute,C51 - WISE (satellite)
J,jo0064,2017-2018,320,320,0,absolute,"D29 - Purple Mountain Observatory, XuYi Station; F51 - Pan-STARRS 1, Haleakala; G36 - Calar Alto-CASADO; G40 - Slooh.com Canary Islands Observatory; G96 - Mt. Lemmon Survey; J43 - Oukaimeden Observatory, Marrakech; T05 - ATLAS-HKO, Haleakala; T08 - ATLAS-MLO, Mauna Loa; W88 - Slooh.com Chile Observatory, La Dehesa; Y00 - SONEAR Observatory, Oliveira; Z80 - Northolt Branch Observatory"
J,jo0065,"2011, 2013, 2017-2019",35,35,0,absolute,"568 - Mauna Kea; 691 - Steward Observatory, Kitt Peak-Spacewatch; C95 - SATINO Remote Observatory, Haute Provence; W84 - Cerro Tololo-DECam; W88 - Slooh.com Chile Observatory, La Dehesa; References.; MPC 112833"
J,jo0066,1987-1993,33,33,0,absolute,083 - Golosseevo-Kiev; 186 - Kitab; 188 - Majdanak
J,jo0067,2017-2019,130,130,0,absolute,"C95 - SATINO Remote Observatory, Haute Provence; I41 - Palomar Mountain--ZTF; T05 - ATLAS-HKO, Haleakala; T08 - ATLAS-MLO, Mauna Loa; W88 - Slooh.com Chile Observatory, La Dehesa; X74 - Observatorio Campo dos Amarais; References.; MPC 115063-115064, 115988-115989"
J,jo0068,2020,144,144,0,absolute,"C95 - SATINO Remote Observatory, Haute Provence; I41 - Palomar Mountain--ZTF; T05 - ATLAS-HKO, Haleakala; T08 - ATLAS-MLO, Mauna Loa; W76 - CHILESCOPE Observatory, Rio Hurtad; References.; MPC 125595-125597, 127455"
J,jo0069,2014-2017,1712,1712,0,absolute,258 - Gaia
J,jo0070,"1986, 2005-2022",1880,1880,0,absolute,"106 - Crni Vrh; 291 - LPL/Spacewatch II; 309 - Cerro Paranal; 415 - Kambah; 644 - Palomar Mountain/NEAT; 673 - Table Mountain Observatory, Wrightwood; 688 - Lowell Observatory, Anderson Mesa Station; 691 - Steward Observatory, Kitt Peak-Spacewatch; 704 - Lincoln Laboratory ETS, New Mexico; 809 - European Southern Observatory, La Silla; 938 - Linhaceira; C73 - Galati Observatory; D29 - Purple Mountain Observatory, XuYi Station; F51 - Pan-STARRS 1, Haleakala; G34 - Oberfrauendorf; G36 - Calar Alto-CASADO; G92 - Jarnac Observatory, Vail; G96 - Mt. Lemmon Survey; I41 - Palomar Mountain--ZTF; I52 - Steward Observatory, Mt. Lemmon Station; J04 - ESA Optical Ground Station, Tenerife; J75 - OAM Observatory, La Sagra; K83 - Beppe Forti Astronomical Observatory, Montelupo; L01 - Visnjan Observatory, Tican; M22 - ATLAS South Africa, Sutherland; T05 - ATLAS-HKO, Haleakala; T08 - ATLAS-MLO, Mauna Loa; W68 - ATLAS Chile, Rio Hurtado; W84 - Cerro Tololo-DECam; W88 - Slooh.com Chile Observatory, La Dehesa; X74 - Observatorio Campo dos Amarais; Y00 - SONEAR Observatory, Oliveira; Z80 - Northolt Branch Observatory; References.; MPC 132404, 136722-136726, 141297-141303, 142128-142135"
J,jo0071,2020-2021,11,11,0,absolute,C51 - WISE (satellite)
J,jo0072,2016-2018,267,267,0,absolute,286 - Yunnan Astronomical Observatory
J,jo0073,2016-2018,372,372,0,absolute,286 - Yunnan Astronomical Observatory
J,jo0074,"1986, 2006-2022",1212,1212,0,absolute,"106 - Crni Vrh; 415 - Kambah; 568 - Mauna Kea; 673 - Table Mountain Observatory, Wrightwood; 688 - Lowell Observatory, Anderson Mesa Station; 691 - Steward Observatory, Kitt Peak-Spacewatch; 703 - Catalina Sky Survey; 704 - Lincoln Laboratory ETS, New Mexico; 850 - Cordell-Lorenz Observatory, Sewanee; 926 - Tenagra II Observatory, Nogales; D00 - ASC-Kislovodsk Observatory; D29 - Purple Mountain Observatory, XuYi Station; F51 - Pan-STARRS 1, Haleakala; G36 - Calar Alto-CASADO; G40 - Slooh.com Canary Islands Observatory; G96 - Mt. Lemmon Survey; I41 - Palomar Mountain--ZTF; J43 - Ouka&#239;meden Observatory, Marrakech; M22 - ATLAS South Africa, Sutherland; T05 - ATLAS-HKO, Haleakala; T08 - ATLAS-MLO, Mauna Loa; V00 - Kitt Peak-Bok; V30 - Heaven on Earth Observatory, Mayhill; W68 - ATLAS Chile, Rio Hurtado; X74 - Observatorio Campo dos Amarais; Z80 - Northolt Branch Observatory; References.; MPC 158689&#8211;158702"
J,jo0075,2010-2022,85,85,0,absolute,C51 - WISE (satellite)
J,jo0076,2017,33,33,0,absolute,"C41 - MASTER-II Observatory, Kislovodsk (CMO SAI); References.; Emelyanov N. V. et al. (2020); Results of Astrometric Observations of Distant Satellites of Jupiter with the New Telescope of the Caucasian; Mountain Observatory, Sternberg Astronomical Institute, Moscow State University.; Solar System Research. Vol. 54. P. 520&#8211;523.; <A HREF=""../../../../cgi-bin/ObsArticleByCode.cgi?code=2020SoSyR__54__520E"">2020SoSyR__54__520E</a>"
J,jo0077,2014-2019,3756,3756,0,absolute,258 - Gaia
J,jo0078,2015-2021,911,911,0,absolute,"286 - Yunnan Observatory; O44 - Lijiang Station, Yunnan Observatories; O49 - Purple Mountain Observatory, Yaoan Station"
J,jo1001,1975-2000,10,10,0,absolute,"675  - Palomar Mountain; 695 - Steward Observatory, Kitt Peak Station; 568 - Mauna Kea"
J,jo1002,1999-2000,20,20,0,absolute,"687 - Northern Arizona University, Flagstaff; 809 - ESO, La Silla; 309 - Cerro Paranal"
J,jo1003,2000-2001,283,283,0,absolute,568 - Mauna Kea
J,jo1004,2000-2000,26,26,0,absolute,"568 - Mauna Kea,; 809 - European Southern Observatory, La Silla"
J,jo1005,2001-2001,28,28,0,absolute,"568 - Mauna Kea; 696 - Whipple Observatory, Mt. Hopkins; 950 - La Palma"
J,jo1006,2001-2001,22,22,0,absolute,568 - Mauna Kea
J,jo1007,2001-2001,5,5,0,absolute,568 - Mauna Kea
J,jo1008,2001-2001,4,4,0,absolute,568 - Mauna Kea
J,jo1009,2001-2001,8,8,0,absolute,568 - Mauna Kea
J,jo1010,2001-2002,109,109,0,absolute,568 - Mauna Kea
J,jo1011,2002-2002,16,16,0,absolute,568 - Mauna Kea
J,jo1012,2002-2002,12,12,0,absolute,568 - Mauna Kea
J,jo1013,2003-2003,14,14,0,absolute,950 - La Palma
J,jo1014,2002-2003,9,9,0,absolute,568 - Mauna Kea; 675 - Palomar
J,jo1015,2003-2003,69,69,0,absolute,568 - Mauna Kea
J,jo1016,2002-2003,19,19,0,absolute,568 - Mauna Kea; 675 - Palomar Mountain
J,jo1017,2003-2003,8,8,0,absolute,568 - Mauna Kea
J,jo1018,2002-2003,46,46,0,absolute,568 - Mauna Kea
J,jo1019,2003-2003,8,8,0,absolute,568 - Mauna Kea
J,jo1020,2003-2003,78,78,0,absolute,568 - Mauna Kea
J,jo1021,2003-2003,20,20,0,absolute,568 - Mauna Kea; 695 - Kitt Peak
J,jo1022,2003-2003,2,2,0,absolute,568 - Mauna Kea
J,jo1023,2003-2003,14,14,0,absolute,568 - Mauna Kea; 695 - Kitt Peak
J,jo1024,2003-2003,31,31,0,absolute,568 - Mauna Kea
J,jo1025,2003-2003,78,78,0,absolute,568 - Mauna Kea
J,jo1026,2002-2003,143,143,0,absolute,568 - Mauna Kea; 675 - Palomar Mountain
J,jo1027,2003-2003,21,21,0,absolute,568 - Mauna Kea
J,jo1028,2003-2003,47,47,0,absolute,568 - Mauna Kea
J,jo1029,2003-2003,32,32,0,absolute,568 - Mauna Kea
J,jo1030,2003-2003,8,8,0,absolute,309 - Paranal; 568 - Mauna Kea
J,jo1031,2003-2003,2,2,0,absolute,568 - Mauna Kea
J,jo1032,2002-2003,50,50,0,absolute,568 - Mauna Kea
J,jo1033,2003-2004,29,29,0,absolute,568 - Mauna Kea; 675 - Palomar Mountain
J,jo1034,2003-2004,10,10,0,absolute,568 - Mauna Kea; 675 - Palomar Mountain
J,jo1035,2000-2005,131,131,0,absolute,"291 - LPL/Spacewatch II; 304 - Las Campanas Observatory; 568 - Mauna Kea; 644 - Palomar Mountain/NEAT; 675 - Palomar Mountain; 691 - Steward Observatory, Kitt Peak-Spacewatch; 695 - Kitt Peak; 950 - La Palma"
J,jo1036,2000-2005,5,5,0,absolute,695 - Kitt Peak; 807 - Cerro Tololo
J,jo1037,2007-2007,4,4,0,absolute,568 - Mauna Kea
J,jo1038,2009-2009,19,19,0,absolute,568 - Mauna Kea; 675 - Palomar Mountain
J,jo1039,2009-2009,3,3,0,absolute,"691 - Steward Observatory, Kitt Peak-Spacewatch"
J,jo1040,2010-2010,3,3,0,absolute,G96 - Mt. Lemmon Survey
J,jo1041,2010-2010,8,8,0,absolute,C51 - WISE (satellite)
J,jo1042,2010-2011,212,212,0,absolute,568 - Mauna Kea; 675 - Palomar Mountain
J,jo1043,2011-2011,26,26,0,absolute,304 - Las Campanas Observatory.
J,jo1044,2011-2011,45,45,0,absolute,"304 - Las Campanas Observatory.; 691 - Steward Observatory, Kitt Peak-Spacewatch; E07 - Murrumbateman; G96 - Mt. Lemmon Survey"
J,jo1045,"2003,2011",53,53,0,absolute,568 - Mauna Kea; 304 -
J,jo1046,2010-2011,19,19,0,absolute,304 - Las Campanas Observatory
J,jo1047,2011-2011,2,2,0,absolute,E07 - Murrumbateman
J,jo1048,2006-2011,478,478,0,absolute,"304 - Las Campanas Observatory; 415 - Kambah; 568 - Mauna Kea; 675 - Palomar Mountain; 691 - Steward Observatory, Kitt Peak-Spacewatch; 695 - Kitt Peak; 807 - Cerro Tololo Observatory, La Serena; E07 - Murrumbateman"
J,jo1049,2012-2015,59,59,0,absolute,"691 - Steward Observatory, Kitt Peak-Spacewatch; C95 - SATINO Remote Observatory, Haute Provence; E07 - Murrumbateman; F51 - Pan-STARRS 1, Haleakala"
J,jo1050,2010-2011,19,19,0,absolute,304 - Las Campanas Observatory
J,jo1051,2008-2010,53,53,0,absolute,"809 - European Southern Observatory, La Silla; 874 - Itajuba"
J,jo1052,2015-2016,29,29,0,absolute,"691 - Steward Observatory, Kitt Peak-Spacewatch; F51 - Pan-STARRS 1, Haleakala; G96 - Mt. Lemmon Survey"
J,jo1053,"2012, 2016-2017",160,160,0,absolute,"304 - Las Campanas Observatory; 568 - Mauna Kea; 688 - Lowell Observatory, Anderson Mesa Station; 807 - Cerro Tololo Observatory, La Serena; F51 - Pan-STARRS 1, Haleakala; G36 - Calar Alto-CASADO; G96 - Mt. Lemmon Survey"
J,jo1054,2016-2018,271,271,0,absolute,"304 - Las Campanas Observatory; 568 - Mauna Kea; 807 - Cerro Tololo Observatory, La Serena; G37 - Lowell Observatory-Discovery Channel Telescope; T12 - Mauna Kea-UH/Tholen NEO Follow-Up (2.24-m)"
J,jo1055,"2010–2011, 2016-2017",219,219,0,absolute,304 - Las Campanas Observatory; 568 - Mauna Kea; W84 - Cerro Tololo-DECam
J,jo1056,2001-2018,437,437,0,absolute,"304 - Las Campanas Observatory; 568 - Mauna Kea; 675 - Palomar Mountain; 807 - Cerro Tololo Observatory, La Serena; W84 - Cerro Tololo-DECam"
J,jo1057,2015-2017,92,92,0,absolute,258 - Gaia
J,jo1058,2000-2021,250,250,0,absolute,"304 - Las Campanas Observatory; 568 - Mauna Kea; 691 - Steward Observatory, Kitt Peak-Spacewatch; 807 - Cerro Tololo Observatory, La Serena; D29 - Purple Mountain Observatory, XuYi Station; F51 - Pan-STARRS 1, Haleakala; G36 - Calar Alto-CASADO; G96 - Mt. Lemmon Survey; V00 - Kitt Peak-Bok; W84 - Cerro Tololo-DECam"
J,jo1059,2003-2022,314,314,0,absolute,"304 - Las Campanas Observatory; 568 - Mauna Kea; 807 - Cerro Tololo Observatory, La Serena; G37 - Lowell Discovery Telescope; T12 - Mauna Kea-UH/Tholen NEO Follow-Up (2.24-m); T14 - Mauna Kea-UH/Tholen NEO Follow-Up (CFHT); W84 - Cerro Tololo-DECam"
J,jo1060,2010,8,8,0,absolute,C51 - WISE (satellite)
J,jo1061,2014-2019,238,238,0,absolute,258 - Gaia
M,mm0001,1877-1982,4912,4912,0,relative,"0 - Greenwich                                      (  10 obs); 1 - Crowborough (Ealing)                           ( 159 obs); 7 - Paris                                          (   1 obs); 84 - Pulkovo                                        ( 310 obs); 85 - Kiev                                           ( 230 obs); 105 - Moscow                                         (   2 obs); 119 - Abastuman                                      ( 216 obs); 135 - Kasan                                          (  11 obs); 192 - Tashkent                                       (  12 obs); 481 - (=972) Dun Echt                                (  16 obs); 503 - Cambridge                                      (  58 obs); 522 - Strasbourg                                     (  29 obs); 662 - Lick Observatory, Mount Hamilton               (1718 obs); 672 - Mount Wilson                                   (  12 obs); 689 - U.S. Naval Observatory, Flagstaff              (  10 obs); 711 - McDonald Observatory, Fort Davis               (  22 obs); 742 - Drake University, Des Moines (Morrison Observ.)(  55 obs); 754 - Yerkes Observatory, Williams Bay               (  28 obs); 786 - U.S. Naval Obs., Washington (since 1893)       (1045 obs); 787 - U.S. Naval Obs., Washington (before 1893)      ( 534 obs); 802 - Harvard Observatory, Cambridge                 ( 415 obs); 981 - Armagh (Sherrington, Bray, Ireland)            (  11 obs); 996 - Oxford                                         (   8 obs)"
M,mm0002,1877-1877,15,15,0,relative,0 - Greenwich; 996 - Oxford
M,mm0003,1879-1879,14,14,0,relative,785 - Princeton
M,mm0004,1884-1884,5,5,0,relative,7 - Paris
M,mm0005,1894-1894,20,20,0,relative,"780 - Leander McCormick Observatory, Charlottesville"
M,mm0006,"1978-1988 (1978: 10, 1986: 126, 1988: 548)",684,684,0,relative,"84 - Pulkovo                                        ( 10); 94 - Crimea-Simeis, Telescope - Zeiss-600           (  3); 114 - Engelhardt Observatory, Zelenchukskaya Station.; Telescope - AZT-14. Refractor 16"". Zeiss-600.  (108); 129 - Ordubad                                        (126); 188 - Shokin Majdanak, Telescope - Zeiss-1000        (307); 193 - Sanglok, Telescope - Zeiss-1000                ( 11); 820 - Tarija, Telescope - Zeiss-600                  (119)"
M,mm0007,1986-1886,173,173,0,relative,129 - Ordubad
M,mm0008,1986-1886,6,6,0,relative,119 - Abastuman
M,mm0009,1988-1988,365,365,0,relative,"84 - Pulkovo, 26-inch refractor                     ( 61); 129 - Ordubad                                        (304)"
M,mm0010,1988-1988,813,813,0,relative,586 - Pic-du-Midi
M,mm0011,1988-1988,200,200,0,relative,188 - Shokin Majdanak
M,mm0012,1988-1988,166,166,0,relative,950 - La Palma
M,mm0013,1988-1988,37,37,0,relative,119 - Abastuman
M,mm0014,1988-1988,23,23,0,relative,"771 - Boyeros Observatory, Havana"
M,mm0015,1988-1988,205,205,0,relative,85 - Kiev
M,mm0016,1988-1988,1299,1299,0,absolute,188 - Shokin Majdanak
M,mm0017,1971-1989,402,402,0,absolute,"1 - Mariner 9:  82,; 2 - Viking  1: 163,; 3 - Viking  2: 112,; 5 - Phobos  2:  45"
