[Year],[M],[D],[H],[M],[S],[alpha],[dec]
[1903],[6],[2],[0],[0],[0.00],[23.5389087957],[-4.199412202]
[1903],[6],[3],[0],[0],[0.00],[23.5434687238],[-4.177116075]
[1903],[6],[4],[0],[0],[0.00],[23.5477200526],[-4.156441641]
[1903],[6],[5],[0],[0],[0.00],[23.5521064033],[-4.134252852]
[1903],[6],[6],[0],[0],[0.00],[23.5570405810],[-4.107699946]
[1903],[6],[7],[0],[0],[0.00],[23.5628424196],[-4.074651452]
[1903],[6],[8],[0],[0],[0.00],[23.5696896223],[-4.034024302]
[1903],[6],[9],[0],[0],[0.00],[23.5775878312],[-3.985970351]
[1903],[6],[10],[0],[0],[0.00],[23.5863687488],[-3.931861902]
[1903],[6],[11],[0],[0],[0.00],[23.5957147365],[-3.874091315]
[1903],[6],[12],[0],[0],[0.00],[23.6052068709],[-3.815711746]
[1903],[6],[13],[0],[0],[0.00],[23.6143859247],[-3.759993699]
[1903],[6],[14],[0],[0],[0.00],[23.6228167991],[-3.709966719]
[1903],[6],[15],[0],[0],[0.00],[23.6301460138],[-3.668018394]
[1903],[6],[16],[0],[0],[0.00],[23.6361467220],[-3.635589749]
[1903],[6],[17],[0],[0],[0.00],[23.6407470309],[-3.612994574]
[1903],[6],[18],[0],[0],[0.00],[23.6440394514],[-3.599376147]
[1903],[6],[19],[0],[0],[0.00],[23.6462709116],[-3.592805297]
[1903],[6],[20],[0],[0],[0.00],[23.6478142774],[-3.590506914]
[1903],[6],[21],[0],[0],[0.00],[23.6491199879],[-3.589224393]
[1903],[6],[22],[0],[0],[0.00],[23.6506578629],[-3.585643931]
[1903],[6],[23],[0],[0],[0.00],[23.6528475721],[-3.576888663]
[1903],[6],[24],[0],[0],[0.00],[23.6559975213],[-3.560940030]
[1903],[6],[25],[0],[0],[0.00],[23.6602542952],[-3.536971490]
[1903],[6],[26],[0],[0],[0.00],[23.6655787892],[-3.505486826]
[1903],[6],[27],[0],[0],[0.00],[23.6717504626],[-3.468255808]
[1903],[6],[28],[0],[0],[0.00],[23.6784012233],[-3.428044232]
[1903],[6],[29],[0],[0],[0.00],[23.6850703131],[-3.388203010]
[1903],[6],[30],[0],[0],[0.00],[23.6912718953],[-3.352178214]
[1903],[7],[1],[0],[0],[0.00],[23.6965614231],[-3.323040938]
[1903],[7],[2],[0],[0],[0.00],[23.7005950657],[-3.303076044]
[1903],[7],[3],[0],[0],[0.00],[23.7031726909],[-3.293496695]
[1903],[7],[4],[0],[0],[0.00],[23.7042636897],[-3.294286727]
[1903],[7],[5],[0],[0],[0.00],[23.7040117908],[-3.304196190]
[1903],[7],[6],[0],[0],[0.00],[23.7027195376],[-3.320882494]
[1903],[7],[7],[0],[0],[0.00],[23.7008121848],[-3.341195432]
[1903],[7],[8],[0],[0],[0.00],[23.6987826020],[-3.361590154]
[1903],[7],[9],[0],[0],[0.00],[23.6971242364],[-3.378613311]
[1903],[7],[10],[0],[0],[0.00],[23.6962586883],[-3.389413641]
[1903],[7],[11],[0],[0],[0.00],[23.6964709709],[-3.392182086]
[1903],[7],[12],[0],[0],[0.00],[23.6978632100],[-3.386448885]
[1903],[7],[13],[0],[0],[0.00],[23.7003373500],[-3.373167175]
[1903],[7],[14],[0],[0],[0.00],[23.7036095834],[-3.354572048]
[1903],[7],[15],[0],[0],[0.00],[23.7072537729],[-3.333840596]
[1903],[7],[16],[0],[0],[0.00],[23.7107661578],[-3.314611362]
[1903],[7],[17],[0],[0],[0.00],[23.7136365184],[-3.300472230]
[1903],[7],[18],[0],[0],[0.00],[23.7154200266],[-3.294455503]
[1903],[7],[19],[0],[0],[0.00],[23.7157935411],[-3.298654537]
[1903],[7],[20],[0],[0],[0.00],[23.7145978318],[-3.313948976]
